# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     190 -0.11675724E+02 -0.83000377E+01  0.33756863E+01  0.34281905E+01
     191 -0.11676895E+02 -0.83003126E+01  0.33765821E+01  0.34281905E+01
     192 -0.11677687E+02 -0.83005655E+01  0.33771213E+01  0.34281905E+01
     193 -0.11678364E+02 -0.83007321E+01  0.33776324E+01  0.34281905E+01
     194 -0.11679463E+02 -0.83010200E+01  0.33784431E+01  0.34281905E+01
     195 -0.11680425E+02 -0.83012785E+01  0.33791468E+01  0.34281905E+01
     196 -0.11681766E+02 -0.83015563E+01  0.33802101E+01  0.34281905E+01
     197 -0.11682535E+02 -0.83017305E+01  0.33808048E+01  0.34281905E+01
     198 -0.11683534E+02 -0.83019471E+01  0.33815871E+01  0.34281905E+01
     199 -0.11684462E+02 -0.83022024E+01  0.33822596E+01  0.34281905E+01
     200 -0.11685224E+02 -0.83024276E+01  0.33827962E+01  0.34281905E+01
     201 -0.11686201E+02 -0.83026463E+01  0.33835550E+01  0.34281905E+01
     202 -0.11687228E+02 -0.83028670E+01  0.33843606E+01  0.34281905E+01
     203 -0.11688107E+02 -0.83030749E+01  0.33850326E+01  0.34281905E+01
     204 -0.11688555E+02 -0.83031957E+01  0.33853594E+01  0.34281905E+01
     205 -0.11689452E+02 -0.83033731E+01  0.33860788E+01  0.34281905E+01
     206 -0.11690126E+02 -0.83035252E+01  0.33866011E+01  0.34281905E+01
     207 -0.11690881E+02 -0.83036946E+01  0.33871865E+01  0.34281905E+01
     208 -0.11691588E+02 -0.83038482E+01  0.33877394E+01  0.34281905E+01
     209 -0.11692492E+02 -0.83040650E+01  0.33884267E+01  0.34281905E+01
     210 -0.11693732E+02 -0.83043491E+01  0.33893829E+01  0.34281905E+01
     211 -0.11694293E+02 -0.83044944E+01  0.33897988E+01  0.34281905E+01
     212 -0.11694968E+02 -0.83046611E+01  0.33903068E+01  0.34281905E+01
     213 -0.11695577E+02 -0.83047989E+01  0.33907783E+01  0.34281905E+01
     214 -0.11696153E+02 -0.83049263E+01  0.33912266E+01  0.34281905E+01
     215 -0.11696888E+02 -0.83051029E+01  0.33917851E+01  0.34281905E+01
